,Title,Published_year,Description
39,New database employs cutting edge technology to offer key insights on the history of British colonies in the Caribbean,2022,UPDATE On December 9 the Association of American Publishers AAP filed suit against the Maryland Attorney General seeking to overturn House Bill 518/SB432 The law requires publishers to offer electronic literary product licenses to Maryland libraries on reasonable terms and prohibits publishers from instituting embargo periods during which ebook and electronic audiobook licenses are available for sale to the public but not to libraries
40,Holocaust Denial Materials and Other Fascist Content Removed from Library Ebook Platforms,2022,Dark matter seashells and CRISPR feature in the best science and technology books of 2021
41,MIT Highlights Distinctive Collections Through A Lab of One’s Own Video Game,2022,From the Acquisition Announcement Spotify Technology on November 11 announced it has entered into a definitive agreement to acquire Findaway a global leader in digital audiobook distribution
42,ALA IMLS Sponsored Privacy Field Guides Launched,2022,Best sellers in engineering and technology October 2020 to date as identified by GOBI Library Solutions from EBSCO
43,REFORMA Virtual Meeting Harassed by Racist Zoombombers,2022,A partnership between Las Vegas–Clark County Library District and the Regional Transportation Commission of Southern Nevada is bringing the library’s digital resources to every bus in town Las Vegas transit riders including outoftowners can now immediately access Las Vegas Clark County Library District’s treasure trove of free movies ebooks audiobooks and magazines with one simple download without physically being in the library or having a library card
44,KCLS BiblioCommons Machine Learning Pilot Profiled at LibLearnX,2022,The Association of College  Research Libraries and Public Library Association have launched Benchmark Library Metrics and Trends a new digital resource for data analysis and visualization designed to help libraries plan make informed decisions and tell the story of their impact
45,Library of Congress Trains Machine Learning Tool with Crowdsourcing,2022,A team at North Carolina State University Libraries has created the Global Change Games series to help engage students with global change topics
46,Three Trends Shaping the Future of Libraries,2022,Michigan’s Kent District Library KDL is preparing to launch KDL Vibes a free streaming platform created to showcase local music
47,Charlotte Mecklenburg Addresses Digital Divide with 20000 Computers and Free Neighborhood WiFi,2021,More than ever it’s important for staff and patrons to know that they are in a safe and secure place Quipu Group’s PITS®Patron Incident Tracking System allows library staff to record and track security incidents in realtime as well as access information on previous activities and actions
48,Ithaka Big Data Report Enlists Librarian Cohorts Provides Professional Development,2021,A launch date has not yet been announced but OverDrive has been recruiting librarian advisors from public academic and K–12 libraries to offer input and refine Readtelligence—an upcoming suite of tools for ebook selection and curation developed by the company using artificial intelligence AI and deep learning tools to analyze every ebook in the OverDrive Marketplace
49,AAP Sues Maryland Over Library Ebook Law,2021,The 2020 Public Library Technology Survey presents a snapshot of the vital technology services that libraries provide their communities areas of disparity between urban and rural libraries and the challenges that institutions of all sizes face in expanding or enhancing technology services
50,AAP Sues Maryland Over Law Requiring Publishers to License Ebooks to Libraries Under Reasonable Terms,2021,Gale part of Cengage Group on September 8 announced the launch Gale Presents Excel Adult High School in partnership with Excel Education Systems With accreditation through Cognia the nonprofit NGO that serves more than 36000 schools globally the program a successor to Gale’s previous Career Online High School is designed to enable adults to earn a certified high school diploma entirely online
51,Best Science  Technology of 2021,2021,From the Federal Communications Commission The Federal Communications Commission today announced that it has received requests for 5137 billion to fund 91 million connected devices  and 54 million broadband connections as part of the 717 billion Emergency Connectivity Fund Program In view of outstanding demand and the recent spike  in coronavirus cases the FCC will open a second application filing window for schools and  libraries to request funding for connected devices and broadband connections for offcampus  use by students school staff and library patrons for the current 202122 school year
52,Spotify Acquires Audiobook Distributor Findaway,2021,ALA Public Knowledge the Schools Health  Libraries Broadband Coalition praised the US Senate's vote to pass the 1 trillion Infrastructure Investment and Jobs Act which includes 65 billion for broadband
53,Craft HumanRobot Collaboration Our Polluted Media Landscape and More in Engineering and Tech  Academic Best Sellers,2021,When we talk about web usability we are talking directly about our patron’s experiences in a library’s digital space so rethinking how we do this work through the lens of antiracism is important
54,Las Vegas–Clark County Library District Partners with Transportation Commission for Free Digital Content on Buses,2021,OverDrive is preparing to launch Readtelligence a suite of new features for ebook selection and curation developed using artificial intelligence AI and deep learning tools to analyze every title in the company’s inventory
55,ACRL and PLA Launch Benchmark a Library Data Analysis Tool,2021,The 19 trillion pandemic relief legislation passed by Congress in March contains a signiﬁcant amount of money for libraries to help their communities In response many companies are highlighting products that can be purchased with recovery funding
56,Global Change Games  Programs That Pop,2021,New digital technologies are bringing changes that are much more rapid and comprehensive than in the past to the way we live work and interact with one another The idea that the recent advancement in digital technologies has reached qualitatively distinct stage of digital revolution is becoming more widely accepted explained Bohyun Kim chief technology officer and professor for the University of Rhode Island Libraries Kingston during the New Technologies of the Fourth Industrial Revolution AI IoT Robotics and Beyond on demand presentation at the American Library Association's 2021 Annual Conference
57,Kent District Library to Launch Local Music Streaming Platform,2021,During the American Library Association ALA Virtual Annual Meeting Lauren Geiger metadata librarian and Emily D Harrison digital projects specialist both from Mississippi State University Libraries discussed how to ensure that accessibility in digital collections is not limited to discoverability
58,Your Library Now Open Keep It Safe and Secure with Quipu’s PITS®,2021,The importance of providing equal access to information and learning experiences is nothing new yet we consistently find that digital resources and technologies fall short of accessibility for patrons and students with print and other disabilities Trisha Prevett eLearning librarian for Southern New Hampshire University said to open the Born Accessible Creating Equal Digital Learning Experiences for All panel at the American Library Association ALA 2021 Annual Conference and Exhibition held virtually from June 23–29 We must ensure that libraries are providing resources that are truly accessible for all
59,OverDrive Refines Readtelligence a New AIDriven Collection Management Tool,2021,The Young Adult Library Services Association YALSA a division of the American Library Association is collaborating with IBM to help teens learn new technical and professional skills using IBM’s Open PTECH platform at participating libraries The free digital learning platform features interactive multipart courses on topics including artificial intelligence AI cybersecurity data science blockchain and design thinking as well as resources for teachers and librarians for each topic
60,PLA Technology Survey Highlights Crucial Role Libraries Play in Digital Equity,2021,Libraries have been reinventing themselves for well over a decade as the emergence of smartphones and ubiquitous connectivity has put access to information into nearly everyone’s hands No longer just repositories of information libraries have morphed into fullservice community centers that aim to meet a wide variety of civic and social needs
61,Gale Launches New Online Adult High School Program for Public Libraries,2021,The popularity of public library streaming media entertainment spiked during the pandemic What’s next?
62,FCC to Open Second 15Day Window for Emergency Connectivity Fund Applications on September 28,2021,On the Books Using Algorithms of Resistance to Expose North Carolina’s Jim Crow Laws is a machine learning and collections as data project of the University of North Carolina UNC at Chapel Hill Libraries Where does the resistance come in? Since 2019 the project team has been building an algorithm and searchable database for Jim Crow legislation signed into law in North Carolina between 1866 and 1967 Reconstruction to Civil Rights era
63,Library Info Tech Groups React to Senate Passage of Infrastructure Bill,2021,From a Joint Announcement OverDrive the leading digital reading platform for libraries and schools worldwide announced today that it is acquiring Kanopy a leading video streaming service for public and academic libraries
64,Add Antiracism to Your Web Usability Work,2021,Even before the COVID19 pandemic disrupted lives around the world public libraries were undergoing dramatic changes No longer just repositories of information libraries have morphed into fullservice community centers that aim to meet a wide variety of civic and social needs Six forwardlooking companies are helping libraries meet evolving needs in their communities with innovative products services and design
65,OverDrive To Launch AI Driven Collection Management Tool,2021,On May 17 Clarivate announced a definitive agreement to acquire ProQuest from Cambridge Information Group for 53 billion Pending regulatory approvals the transaction is expected to close during the third quarter of 2021
66,Library Funding ARPA in Action,2021,On May 18 Digital Public Library of America DPLA signed an agreement with Amazon Publishing that will make all of the latter’s 10000 ebooks and audiobooks available to libraries via the DPLA Exchange content marketplace This is the first time that ebooks and audiobooks from Amazon Publishing have been made available to libraries
67,New Technologies of the Fourth Industrial Revolution  ALA Annual 2021,2021,From DPLA Digital Public Library of America DPLA is pleased to announce that we have signed an agreement with Amazon Publishing to make all of the approximately 10000 Amazon Publishing ebooks and audiobooks available to libraries and their patrons through the DPLA Exchange
68,Accessible Not Just Discoverable Ensuring Accessibility in Digital Collections  ALA Annual 2021,2021,From a Joint Release Clarivate a global leader in providing trusted information and insights to accelerate the pace of innovation today announced a definitive agreement to acquire ProQuest
69,Publishers Libraries Making Progress on Accessibility  ALA Annual 2021,2021,From the FCC The Federal Communications Commission today unanimously adopted final rules to implement the Emergency Connectivity Fund Program This 717 billion program funded by the American Rescue Plan Act of 2021 will enable schools and libraries to purchase laptop and tablet computers WiFi hotspots and broadband connectivity for students school staff and library patrons in need during the COVID19 pandemic
71,IBM YALSA Partnership Offers Free PTECH Digital Learning Platform Access,2021,With the COVID19 vaccine rollout gaining momentum in the United States libraries continue the process of reopening They’ll need to get the word out to patrons about changing hours resumed services and inperson events This product spotlight focuses on marketing platforms for libraries designed to help streamline outreach efforts via social media email newsletters mobile messaging and more
72,21st Century Libraries Changing from the Ground Up,2021,From the Federal Communications Commission Today FCC Acting Chairwoman Jessica Rosenworcel announced the start date of the Emergency Broadband Benefit Program As of May 12 2021 eligible households will be able to enroll in the Program to receive a monthly discount off the cost of broadband service from an approved provider Eligible households can enroll through an approved provider or by visiting https//getemergencybroadbandorg
73,Full Stream Ahead What's Next for Streaming Media,2021,The challenge for libraries is first to obtain and spend federal funding and second to parlay that temporary help into a permanent paradigm shift The new equipment will outlast the emergency It is up to library leaders to document its ongoing impacts so that when breakage and age take their inevitable toll funders will find it unthinkable not to replace and upgrade the gear
74,UNC Libraries’ Machine Learning Project Analyzes State’s Jim Crow Laws,2021,When Bernard Bud Barton was hired as the Chief Information Officer CIO for the Library of Congress in September 2015 he was faced with the Government Accountability Office’s list of 31 recommendations to overhaul and modernize the library’s IT infrastructure Five years later those recommendations have been implemented LJ caught up with Barton to discuss his team's work and what’s ahead as the Library of Congress continues to modernize its IT
75,OverDrive is Acquiring Kanopy,2021,With library branches closed or offering limited inperson services during much of 2020 that has often meant shifting to virtual offerings But many people faced challenges accessing those online resources according to Public Libraries and the Pandemic Digital Shifts and Disparities to Overcome a report published this month by New America a Washington DC–based public policy think tank
77,Clarivate To Acquire ProQuest,2021,In a significant show of support Congress earmarked billions of dollars in recovery funding for academic public and school libraries on Wednesday March 10 as part of President Joe Biden’s 19 trillion American Rescue Plan Act ARPA of 2021 The Institute of Museum and Library Services IMLS received 200 million the largest single boost in the agency’s 25year history The relief package also includes money for libraryeligible programs such as the Emergency Education Connectivity Fund through the FCC’s Erate program
78,DPLA Agreement Makes Amazon Publishing Ebooks and Audiobooks Available to Libraries,2021,From an American Libraries Association Statement Libraries are eligible for billions of dollars in recovery funding as part of the 19 trillion American Rescue Plan Act ARPA of 2021 passed by Congress on Wednesday March 10 2021
79,DPLA To Make Amazon Publishing Ebooks and Audiobooks Available to Libraries,2021,Even before the pandemic emerged libraries were investing in new technologies designed to save time and improve efficiency by supporting customer selfservice freeing up library staff to focus on more strategic work COVID19 has accelerated this trend and in the process is transforming how libraries function in the 21st century
80,Clarivate is Acquiring ProQuest For 53 Billion,2021,From The Washington Post The Federal Communications Commission late Thursday finalized a 32 billion program that will provide a monthly discount to millions of cashstarved Americans struggling to pay their Internet bills — the country’s most ambitious effort yet to close the digital divide amid the coronavirus pandemic
81,FCC to Launch 717 Billion Connectivity Fund Program Providing Funding to Schools and Libraries,2021,University of Washington iSchool researchers present an overview of the Open Data Literacy project's work to date and share highlights from a survey of the current landscape of open data in Washington State's public libraries
82,Three Stories Your Library Should Be Telling Right Now,2021,On February 22 the University of California San Diego UCSD Library launched the inaugural Art of Science Contest inviting UCSD researchers to submit the most beautiful image that explains their work in a way that is both engaging and accessible to nonscientists The contest runs through March 21; voting will take place from March 29–April 18 with the winning images announced on May 3
83,Marketing Platforms  Product Spotlight,2021,Next week SnoIsle Libraries WA will hold orientation sessions for its second cohort of aspiring IT professionals—nearly 50 residents of Snohomish and Island counties who will spend the next 25 weeks studying for CompTIA A+ certification a common requirement for entrylevel IT and computer service technician jobs
84,FCC Announces Start Date of Emergency Broadband Benefit Program,2021,From the Federal Communications Commission The Federal Communications Commission today began seeking comment on several petitions requesting permission to use ERate program funds to support remote learning during the pandemic
86,Broadening Broadband  Editorial,2021,Deepfakes a portmanteau of deep learning artificial intelligence AI and fake media are becoming more common and a better understanding of what they are and how they work is vital in the current information landscape said John Mack Freeman Suwanee branch manager for Gwinnett County Public Library GA in an hourlong presentation as part of this year’s Core Top Tech Trends panel at the American Library Association’s Midwinter Virtual Meeting
87,Bud Barton on Bringing Library of Congress IT Up to Date,2021,Best sellers in engineering and technology January 2020 to date as identified by GOBI Library Solutions from EBSCO
88,New America Study Reveals Race Wealth Disparities in Library Access During Pandemic,2021,When Slave Biographies The Atlantic Database Network launched in 2011 it aggregated data on slavery and enslaved people from three scholarly sources Nearly 10 years later Enslavedorg Peoples of the Historic Slave Trade—built on the original project and using linked open data technology for a new more comprehensive iteration—launched in December 2020
89,House Senate Democrats Unveil 94 Billion Bill to Improve Internet Access,2021,Project MUSE has released MUSE in Focus Roots of the Attack on Democracy insurance analytics company ValChoice has extended a free unlimited access subscription for libraries and Kanopy expects the growth of streaming video services to continue based on a recent survey of librarians
90,American Rescue Plan Act of 2021 Includes Billions for IMLS Higher Ed ERate,2021,Lack of reliable broadband access has long posed challenges for many rural communities As the pandemic ramps up the need libraries continue to help with innovative solutions
91,ALA Libraries Gain Record Increases for IMLS ERate in Federal Relief Plan,2021,Carnegie Mellon University Libraries has developed CAMPI a new web application that uses computer vision to assist librarians processing digital photograph collections
92,Tech Tools Reopening and Beyond,2021,AHC Library enables students to access digital course reserves from any device TLC Migrates to Oracle Cloud and ProQuest Launches a new text and data mining visualization interface
93,FCC Adopts Report and Order to Implement 32 Billion Emergency Broadband Benefit Program,2021,Participating public libraries will receive web archiving and access services training and education and funds to promote and pursue their community archiving The Community Webs National Network will also make the resulting public library local history community web archives available to scholars through specialized access tools and datasets
94,Public Libraries and Open Government Data Partnerships for Progress,2021,From Microsoft Online fraud hate speech discrimination and other divisive online risks are on the rise globally according to results of a new Microsoft study
95,UC San Diego Library Launches Art of Science Contest To Highlight Researchers’ Most Beautiful Images,2021,Carl Grant former president of Ex Libris North America and interim dean of the University of Oklahoma Libraries this summer became managing director of The Revs Institute a Naples FL–based notforprofit dedicated to the research and historical study of automobiles
96,SnoIsle Offers CompTIA A+ Certification Program for IT Professionals,2021,Between already tight library budgets and mounting pressures it is more important than ever to spend wisely and make investments that ensure a strong return The best way to do so is using data best practices and proven methodology to make decisions Learn More
97,FCC Seeks Comment on Using ERate Funding to Support Remote Learning,2021,Michigan State University will migrate to the open source FOLIO Library Services Platform and will fully implement FOLIO in 2021 it announced today EBSCO Information Services will provide hosting implementation training and development support and will leverage integrations with EBSCO Discovery Service and OpenAthens access management
98,Surveillance Privacy and the Troublesome Tech Landscape  ALA Midwinter 2021,2021,After initially exploring the donation of some of its library collections to nearby Wayne State University Marygrove College ultimately decided to give its 70000 books and 3000 journal volumes to the Internet Archive which digitized the collection and made it available via Controlled Digital Lending
99,Deepfakes and the Evolving Misinformation Ecosystem  ALA Midwinter 2021,2021,David Polfeldt of Massive Entertainment offers insight on working in the video game industry Sid Meier tells the story of creating the influential gaming series Civilization
100,User Friendly a World With No Off Switch the Inside Story of Instagram and More in Engineering and Technology  Academic Best Sellers,2021,The Federal Bureau of Investigation FBI and the Cybersecurity and Infrastructure Security Agency CISA are issuing this announcement to raise awareness of the potential threat posed by foreignbacked online journals that spread disinformation regarding the 2020 elections
101,Enslavedorg Uses Linked Open Data To Connect Enslavement Records,2021,From the arXiv Blog arXivLabs a concept developed years ago acts as a conduit for collaboration Now it appears as a physical space on the article record page and importantly sets guidelines for collaborations between arXiv and third parties ensuring that partners share arXiv’s values of openness community excellence and user data privacy
102,Project MUSE Analyzes Attack on Capitol ValChoice Extends Free Offer for Libraries Kanopy Survey on Pandemic Video Streaming Trends,2021,From Open Preservation Foundation We are pleased to announce the publication of the findings report and anonymised raw data from the OPF digital preservation community survey
103,Connecting the Last Mile Libraries Find Innovative Solutions for Broadband Access,2021,When COVID19 shut down the country in early March there was a mad scramble for masks swabs and…library cards With doors closed and physical collections in quarantine embargoed the only way libraries could connect with patrons was online But how could new customers or those new to using online collections get access without a library card?
104,Carnegie Mellon Prototype Streamlines Digitized Photo Archives Processing,2021,Central Technology CenTec developers of the icirc line of selfcheck stations created Point 2 Click a patentpending adapter that enables library patrons to use public touchscreen interfaces without ever physically touching the screens The adapters were developed in response to heightened cleaning protocols as libraries reopen branches during the COVID19 pandemic
105,Allan Hancock College Partners with BibliU on Digital Course Reserves TLC Migrates to Oracle Cloud ProQuest Launches TDM Studio,2020,COVID19 is accelerating the move to digital amid budget pressures; library vendors share what they hear from customers and how they're meeting rapidly evolving needs
106,Internet Archive’s Community Webs Program Receives 11 Million Mellon Foundation Award,2020,As universities and colleges across the United States grapple with the best way to proceed with fall terms given the ongoing COVID19 pandemic American Library Association–accredited library science programs are providing a variety of options to their students Some are going fully online while others are offering hybrid courses with online and inperson components
107,Microsoft Finds Online Risks That Sow Hate and Division are Growing,2020,On July 27 the Internet Archive IA responded to a copyright infringement lawsuit filed by publishers Hachette HarperCollins Wiley and Penguin Random House by filing a brief in the US Southern District of New York that denies all charges of willful infringement
108,Former OU Dean of Libraries Carl Grant Shifts Gears Leads Revs Institute,2020,Linked Data is only as useful as the metadata on which it depends and poor quality metadata ultimately causes the challenges many librarians hope to address with Linked Data
109,Stop Relying on Gut Instincts Start Making DataDriven Decisions,2020,As libraries offer essential services during the COVID pandemic they face the added challenge of protecting the health and safety of staff and patrons Necessary adaptations include effective and affordable personal protective equipment PPE for library staff sanitization stations for staff and patrons touchfree checkouts the replacement of meeting room locks with digital contactless entry devices and revamped floor plans and public spaces
110,Michigan State University Begins Transition to the FOLIO Library Services Platform,2020,ValChoice an independent data analytics company focused on the US insurance industry is offering public and academic libraries permanent unlimited access to online calculators insurance company ratings tutorials and howto videos worksheets and other tools designed to help users understand how insurance—such as car and home insurance—is priced and how to decide on policies based on their age deductibles coverage limits and other factors
111,Internet Archive Digitizes Closed Marygrove College’s Library,2020,Seven experts discussed longterm trends that are becoming even more significant in the wake of the COVID19 pandemic
112,Gaming Lives  Social Sciences Reviews,2020,In partnership with 10 state libraries BiblioLabs has announced that more than 4000 digital comics graphic novels and children’s materials will be available for free unlimited simultaneous use through August 31 In addition the library partners will be participating in a new Virtual Library Comic Convention scheduled to be held on July 30
113,FBI and CISA Foreign Actors Likely To Use Online Journals To Spread Disinformation on 2020 Elections,2020,Gale a Cengage company today introduced five interactive dashboards for its Gale Analytics demographic data visualization platform
114,arXiv Labs Launches,2020,Online meetings have become ubiquitous for many of us Once our library started offering Virtual Meeting Rooms to the public via Zoom we immediately began fielding questions on how to best structure online events Since how an event is structured has such a large impact on its success we wanted to share some best practices we’ve learned
115,Digital Preservation Community Survey Findings Published Today by Open Preservation Foundation OPF,2020,Technological advancements accessibility needs and study practices have and will continue to develop at a rapid pace We find use and publish research completely differently than we did 25 years ago
116,Quipu's eCARD Platform keeps library open 247,2020,Many libraries are cancelling their galas and other inperson fundraising events due to the global pandemic As a member of the Next Chapter Society NCS which works with Tennessee’s  Nashville Public Library Foundation to fundraise for the Nashville Public Library NPL I worked with my committee to shift our summer activities online
117,TouchFree Adapters for Library SelfCheck Stations Launched by CenTec,2020,When the COVID19 pandemic shut down campuses libraries helped salvage spring semesters by supporting distance learning Plans for fall remain in limbo but academic librarians share what they’ve learned
118,How Vendors Are Working with Academic Libraries in Their Pivot to Digital,2020,In response to coronavirus shutdown orders that have left public library branches closed across the country Playaway—developer of products including Playaway preloaded audiobook devices Wonderbook readalongs and Launchpad preloaded tablets—recently began offering its customers the option to ship products directly from the company to patrons’ homes
119,Library Science Programs Move Largely Online for Fall,2020,As the coronavirus makes internet access even more crucial for schooling many jobs and applying for unemployment library staff have been working on creative solutions to bring access to thousands who would otherwise be without moving beyond WiFi in parking lots and cultivating external partnerships
